"Pseudomonas","Competitor.Community","PhagePresence","Time_day","Pop","Density"
"PAO1","Sa",1,16,"PT7",112000
"PAO1","Sa",1,16,"P_aeruginosa",0
"PAO1","Sa",1,16,"PT7",112000
"PAO1","Sa",1,16,"P_aeruginosa",340000
"PAO1","Sa",1,16,"PT7",112000
"PAO1","Sa",1,16,"P_aeruginosa",2010000
"PAO1","Sa",1,16,"PT7",129000
"PAO1","Sa",1,16,"P_aeruginosa",560000
"PAO1","Sa",1,16,"PT7",129000
"PAO1","Sa",1,16,"P_aeruginosa",0
"PAO1","Sa",1,16,"PT7",129000
"PAO1","Sa",1,16,"P_aeruginosa",0
"PAO1","Sa",1,16,"PT7",129000
"PAO1","Sa",1,16,"P_aeruginosa",340000
"PAO1","Sa",1,16,"PT7",129000
"PAO1","Sa",1,16,"P_aeruginosa",2010000
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",560000
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",0
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",0
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",340000
"PAO1","Sa",1,16,"PT7",3e+08
"PAO1","Sa",1,16,"P_aeruginosa",2010000
"PAO1","Sa",1,16,"PT7",2.21e+08
"PAO1","Sa",1,16,"P_aeruginosa",560000
"PAO1","Sa",1,16,"PT7",2.21e+08
"PAO1","Sa",1,16,"P_aeruginosa",0
"PAO1","Sa",1,16,"PT7",2.21e+08
"PAO1","Sa",1,16,"P_aeruginosa",0
"PAO1","Sa",1,16,"PT7",2.21e+08
"PAO1","Sa",1,16,"P_aeruginosa",340000
"PAO1","Sa",1,16,"PT7",2.21e+08
"PAO1","Sa",1,16,"P_aeruginosa",2010000
"PAO1","Sm",1,16,"PT7",68000
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",68000
"PAO1","Sm",1,16,"P_aeruginosa",4e+05
"PAO1","Sm",1,16,"PT7",68000
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",68000
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",68000
"PAO1","Sm",1,16,"P_aeruginosa",2e+06
"PAO1","Sm",1,16,"PT7",1.5e+07
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",1.5e+07
"PAO1","Sm",1,16,"P_aeruginosa",4e+05
"PAO1","Sm",1,16,"PT7",1.5e+07
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",1.5e+07
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",1.5e+07
"PAO1","Sm",1,16,"P_aeruginosa",2e+06
"PAO1","Sm",1,16,"PT7",3.7e+07
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",3.7e+07
"PAO1","Sm",1,16,"P_aeruginosa",4e+05
"PAO1","Sm",1,16,"PT7",3.7e+07
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",3.7e+07
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",3.7e+07
"PAO1","Sm",1,16,"P_aeruginosa",2e+06
"PAO1","Sm",1,16,"PT7",176000
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",176000
"PAO1","Sm",1,16,"P_aeruginosa",4e+05
"PAO1","Sm",1,16,"PT7",176000
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",176000
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",176000
"PAO1","Sm",1,16,"P_aeruginosa",2e+06
"PAO1","Sm",1,16,"PT7",3e+05
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",3e+05
"PAO1","Sm",1,16,"P_aeruginosa",4e+05
"PAO1","Sm",1,16,"PT7",3e+05
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",3e+05
"PAO1","Sm",1,16,"P_aeruginosa",0
"PAO1","Sm",1,16,"PT7",3e+05
"PAO1","Sm",1,16,"P_aeruginosa",2e+06
"lasR","Sa",1,16,"PT7",3e+05
"lasR","Sa",1,16,"P_aeruginosa",3600000
"lasR","Sa",1,16,"PT7",3e+05
"lasR","Sa",1,16,"P_aeruginosa",410000
"lasR","Sa",1,16,"PT7",3e+05
"lasR","Sa",1,16,"P_aeruginosa",2900000
"lasR","Sa",1,16,"PT7",3e+05
"lasR","Sa",1,16,"P_aeruginosa",186000
"lasR","Sa",1,16,"PT7",3e+05
"lasR","Sa",1,16,"P_aeruginosa",45000
"lasR","Sa",1,16,"PT7",3.6e+07
"lasR","Sa",1,16,"P_aeruginosa",3600000
"lasR","Sa",1,16,"PT7",3.6e+07
"lasR","Sa",1,16,"P_aeruginosa",410000
"lasR","Sa",1,16,"PT7",3.6e+07
"lasR","Sa",1,16,"P_aeruginosa",2900000
"lasR","Sa",1,16,"PT7",3.6e+07
"lasR","Sa",1,16,"P_aeruginosa",186000
"lasR","Sa",1,16,"PT7",3.6e+07
"lasR","Sa",1,16,"P_aeruginosa",45000
"lasR","Sa",1,16,"PT7",3e+08
"lasR","Sa",1,16,"P_aeruginosa",3600000
"lasR","Sa",1,16,"PT7",3e+08
"lasR","Sa",1,16,"P_aeruginosa",410000
"lasR","Sa",1,16,"PT7",3e+08
"lasR","Sa",1,16,"P_aeruginosa",2900000
"lasR","Sa",1,16,"PT7",3e+08
"lasR","Sa",1,16,"P_aeruginosa",186000
"lasR","Sa",1,16,"PT7",3e+08
"lasR","Sa",1,16,"P_aeruginosa",45000
"lasR","Sa",1,16,"PT7",76000
"lasR","Sa",1,16,"P_aeruginosa",3600000
"lasR","Sa",1,16,"PT7",76000
"lasR","Sa",1,16,"P_aeruginosa",410000
"lasR","Sa",1,16,"PT7",76000
"lasR","Sa",1,16,"P_aeruginosa",2900000
"lasR","Sa",1,16,"PT7",76000
"lasR","Sa",1,16,"P_aeruginosa",186000
"lasR","Sa",1,16,"PT7",76000
"lasR","Sa",1,16,"P_aeruginosa",45000
"lasR","Sa",1,16,"PT7",1.4e+07
"lasR","Sa",1,16,"P_aeruginosa",3600000
"lasR","Sa",1,16,"PT7",1.4e+07
"lasR","Sa",1,16,"P_aeruginosa",410000
"lasR","Sa",1,16,"PT7",1.4e+07
"lasR","Sa",1,16,"P_aeruginosa",2900000
"lasR","Sa",1,16,"PT7",1.4e+07
"lasR","Sa",1,16,"P_aeruginosa",186000
"lasR","Sa",1,16,"PT7",1.4e+07
"lasR","Sa",1,16,"P_aeruginosa",45000
"lasR","Sm",1,16,"PT7",1.62e+08
"lasR","Sm",1,16,"P_aeruginosa",10600000
"lasR","Sm",1,16,"PT7",1.62e+08
"lasR","Sm",1,16,"P_aeruginosa",1.2e+07
"lasR","Sm",1,16,"PT7",1.62e+08
"lasR","Sm",1,16,"P_aeruginosa",27600000
"lasR","Sm",1,16,"PT7",1.62e+08
"lasR","Sm",1,16,"P_aeruginosa",20600000
"lasR","Sm",1,16,"PT7",1.62e+08
"lasR","Sm",1,16,"P_aeruginosa",10300000
"lasR","Sm",1,16,"PT7",8.8e+07
"lasR","Sm",1,16,"P_aeruginosa",10600000
"lasR","Sm",1,16,"PT7",8.8e+07
"lasR","Sm",1,16,"P_aeruginosa",1.2e+07
"lasR","Sm",1,16,"PT7",8.8e+07
"lasR","Sm",1,16,"P_aeruginosa",27600000
"lasR","Sm",1,16,"PT7",8.8e+07
"lasR","Sm",1,16,"P_aeruginosa",20600000
