"Focal_strain","Bact_community","Phage_presence","Time_day","Pop","Density","Rep_pop","Study"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",1.7e+07,"3","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",1.22e+08,"4","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",14300000,"4","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",1.75e+08,"5","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",720000,"5","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.02e+08,"1","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.03e+08,"2","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.27e+08,"3","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.01e+08,"4","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.7e+07,"5","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",4.9e+07,"1","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",16800000,"2","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",1.09e+08,"3","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",4.5e+07,"4","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",16100000,"5","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",4600000,"1","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",3920000,"2","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",1080000,"3","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",1100000,"4","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",11900000,"5","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",680000,"1","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",83000,"2","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",1250000,"3","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",720000,"4","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",147000,"5","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",10400000,"1","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",1980000,"2","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",13200000,"3","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",1.8e+07,"4","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",14200000,"5","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",7900000,"1","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",7700000,"2","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",290000,"3","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",8100000,"4","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",610000,"5","Mumford_Friman"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",1030000,"1","Mumford_Friman"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",1020000,"2","Mumford_Friman"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",2110000,"3","Mumford_Friman"
