Treatment,Repeat,Primer set,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,R2,Efficiency,Slope,Notes/Comments
PA14 and AB,3,PA14 16s,12.049,12.069,0.073,7.03E+06,6.94E+06,3.36E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,3,PA14 16s,12.15,12.069,0.073,6.57E+06,6.94E+06,3.36E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,4,PA14 16s,11.825,11.916,0.172,8.18E+06,7.72E+06,8.59E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,4,PA14 16s,11.809,11.916,0.172,8.26E+06,7.72E+06,8.59E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,4,PA14 16s,12.114,11.916,0.172,6.73E+06,7.72E+06,8.59E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,5,PA14 16s,12.272,12.247,0.025,6.06E+06,6.16E+06,1.03E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,5,PA14 16s,12.222,12.247,0.025,6.26E+06,6.16E+06,1.03E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,5,PA14 16s,12.248,12.247,0.025,6.15E+06,6.16E+06,1.03E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,6,PA14 16s,12.16,12.213,0.145,6.53E+06,6.32E+06,6.00E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,6,PA14 16s,12.101,12.213,0.145,6.79E+06,6.32E+06,6.00E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,6,PA14 16s,12.377,12.213,0.145,5.65E+06,6.32E+06,6.00E+05,0.998,95.645,-3.431,Standard run
PA14 and AB,1,AB 16s,13.935,14.008,0.064,3.28E+06,3.13E+06,1.31E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,1,AB 16s,14.044,14.008,0.064,3.06E+06,3.13E+06,1.31E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,1,AB 16s,14.047,14.008,0.064,3.05E+06,3.13E+06,1.31E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,2,AB 16s,13.781,13.693,0.076,3.63E+06,3.84E+06,1.86E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,2,AB 16s,13.649,13.693,0.076,3.95E+06,3.84E+06,1.86E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,2,AB 16s,13.65,13.693,0.076,3.95E+06,3.84E+06,1.86E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,3,AB 16s,13.759,13.787,0.072,3.68E+06,3.62E+06,1.68E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,3,AB 16s,13.87,13.787,0.072,3.43E+06,3.62E+06,1.68E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,3,AB 16s,13.733,13.787,0.072,3.74E+06,3.62E+06,1.68E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,4,AB 16s,13.436,13.492,0.048,4.54E+06,4.38E+06,1.39E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,4,AB 16s,13.521,13.492,0.048,4.30E+06,4.38E+06,1.39E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,4,AB 16s,13.519,13.492,0.048,4.30E+06,4.38E+06,1.39E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,5,AB 16s,14.025,13.958,0.115,3.10E+06,3.24E+06,2.46E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,5,AB 16s,14.023,13.958,0.115,3.10E+06,3.24E+06,2.46E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,5,AB 16s,13.826,13.958,0.115,3.53E+06,3.24E+06,2.46E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,6,AB 16s,13.676,13.682,0.047,3.89E+06,3.87E+06,1.18E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,6,AB 16s,13.638,13.682,0.047,3.98E+06,3.87E+06,1.18E+05,0.999,91.191,-3.553,Standard run
PA14 and AB,6,AB 16s,13.731,13.682,0.047,3.75E+06,3.87E+06,1.18E+05,0.999,91.191,-3.553,Standard run
PA14 and BC,1,PA14 16s,14.213,14.122,0.103,1.79E+06,1.90E+06,1.29E+05,0.998,92.171,-3.525,Standard run
PA14 and BC,1,PA14 16s,14.143,14.122,0.103,1.87E+06,1.90E+06,1.29E+05,0.998,92.171,-3.525,Standard run
PA14 and BC,1,PA14 16s,14.01,14.122,0.103,2.04E+06,1.90E+06,1.29E+05,0.998,92.171,-3.525,Standard run
PA14 and BC,2,PA14 16s,14.269,14.274,0.028,1.72E+06,1.72E+06,3.10E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,2,PA14 16s,14.25,14.274,0.028,1.74E+06,1.72E+06,3.10E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,2,PA14 16s,14.305,14.274,0.028,1.68E+06,1.72E+06,3.10E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,3,PA14 16s,14.37,14.376,0.079,1.61E+06,1.61E+06,8.29E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,3,PA14 16s,14.457,14.376,0.079,1.52E+06,1.61E+06,8.29E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,3,PA14 16s,14.3,14.376,0.079,1.69E+06,1.61E+06,8.29E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,4,PA14 16s,13.949,13.909,0.069,2.12E+06,2.18E+06,9.91E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,4,PA14 16s,13.947,13.909,0.069,2.13E+06,2.18E+06,9.91E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,4,PA14 16s,13.829,13.909,0.069,2.30E+06,2.18E+06,9.91E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,5,PA14 16s,13.376,13.315,0.082,3.09E+06,3.22E+06,1.75E+05,0.998,92.171,-3.525,Standard run
PA14 and BC,5,PA14 16s,13.347,13.315,0.082,3.15E+06,3.22E+06,1.75E+05,0.998,92.171,-3.525,Standard run
PA14 and BC,5,PA14 16s,13.222,13.315,0.082,3.42E+06,3.22E+06,1.75E+05,0.998,92.171,-3.525,Standard run
PA14 and BC,6,PA14 16s,14.358,14.338,0.028,1.63E+06,1.65E+06,3.08E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,6,PA14 16s,14.305,14.338,0.028,1.68E+06,1.65E+06,3.08E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,6,PA14 16s,14.349,14.338,0.028,1.64E+06,1.65E+06,3.08E+04,0.998,92.171,-3.525,Standard run
PA14 and BC,1,BC 16s (455),15.107,15.139,0.028,3.95E+06,3.86E+06,7.29E+04,0.999,95.906,-3.424,Standard run
PA14 and BC,1,BC 16s (455),15.156,15.139,0.028,3.82E+06,3.86E+06,7.29E+04,0.999,95.906,-3.424,Standard run
PA14 and BC,1,BC 16s (455),15.154,15.139,0.028,3.82E+06,3.86E+06,7.29E+04,0.999,95.906,-3.424,Standard run
PA14 and BC,2,BC 16s (455),16.423,16.277,0.128,1.63E+06,1.80E+06,1.52E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,2,BC 16s (455),16.183,16.277,0.128,1.91E+06,1.80E+06,1.52E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,2,BC 16s (455),16.225,16.277,0.128,1.86E+06,1.80E+06,1.52E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,3,BC 16s (455),14.566,14.553,0.057,5.68E+06,5.73E+06,2.22E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,3,BC 16s (455),14.49,14.553,0.057,5.97E+06,5.73E+06,2.22E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,3,BC 16s (455),14.602,14.553,0.057,5.54E+06,5.73E+06,2.22E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,4,BC 16s (455),14.678,14.654,0.028,5.26E+06,5.35E+06,1.00E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,4,BC 16s (455),14.624,14.654,0.028,5.46E+06,5.35E+06,1.00E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,4,BC 16s (455),14.66,14.654,0.028,5.33E+06,5.35E+06,1.00E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,5,BC 16s (455),15.034,14.963,0.158,4.14E+06,4.36E+06,4.76E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,5,BC 16s (455),15.072,14.963,0.158,4.04E+06,4.36E+06,4.76E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,5,BC 16s (455),14.782,14.963,0.158,4.91E+06,4.36E+06,4.76E+05,0.999,95.906,-3.424,Standard run
PA14 and BC,6,BC 16s (455),16.381,16.335,0.056,1.68E+06,1.73E+06,6.51E+04,0.999,95.906,-3.424,Standard run
PA14 and BC,6,BC 16s (455),16.273,16.335,0.056,1.80E+06,1.73E+06,6.51E+04,0.999,95.906,-3.424,Standard run
PA14 and BC,6,BC 16s (455),16.351,16.335,0.056,1.71E+06,1.73E+06,6.51E+04,0.999,95.906,-3.424,Standard run
